date,sector,consumption
2018-01-01,total,13156.104056110958
2018-02-01,total,12097.296631038118
2018-03-01,total,14028.97949296315
2018-04-01,total,13604.82168855314
2018-05-01,total,13934.682724633209
2018-06-01,total,13347.707247758404
2018-07-01,total,14252.213182557198
2018-08-01,total,14342.897929654371
2018-09-01,total,13359.051890100947
2018-10-01,total,14082.365777453364
2018-11-01,total,13550.993234309417
2018-12-01,total,13730.575007967718
2019-01-01,total,14108.832544588864
2019-02-01,total,12616.771694541756
2019-03-01,total,14632.336974068377
2019-04-01,total,14371.725167308241
2019-05-01,total,14694.2339605227
2019-06-01,total,13546.968095815266
2019-07-01,total,14501.535452615077
2019-08-01,total,14356.73955328454
2019-09-01,total,13967.939356520088
2019-10-01,total,14104.110340336487
2019-11-01,total,13727.232622115796
2019-12-01,total,13811.128407282811
2020-01-01,total,14196.160220969576
2020-02-01,total,13556.968139401051
2020-03-01,total,13522.390798413617
2020-04-01,total,11685.346570940272
2020-05-01,total,13263.175715859014
2020-06-01,total,13290.318082218557
2020-07-01,total,13866.936196377797
2020-08-01,total,14262.416222790402
2020-09-01,total,13726.89329859833
2020-10-01,total,14291.295161922279
2020-11-01,total,13434.773193759025
2020-12-01,total,13849.255644614743
2021-01-01,total,13569.243090006545
2021-02-01,total,12805.177817773103
2021-03-01,total,14849.603943127371
2021-04-01,total,14349.456008570443
2021-05-01,total,14451.451246251247
2021-06-01,total,12675.286826846845
2021-07-01,total,13227.838629922124
2021-08-01,total,13589.054742596794
2021-09-01,total,13810.493340577848
2021-10-01,total,14879.946884161962
2021-11-01,total,14137.371034829546
2021-12-01,total,14505.968158195014
2022-01-01,total,14321.22266543781
2022-02-01,total,12833.771962361856
2022-03-01,total,14840.09976007125
2022-04-01,total,14471.668097829996
2022-05-01,total,14868.395857793854
2022-06-01,total,14507.142867019453
2022-07-01,total,14950.457427254234
2022-08-01,total,14930.658295484422
2022-09-01,total,14273.38032943555
2022-10-01,total,14555.450282022772
2022-11-01,total,14072.688792123277
2022-12-01,total,14194.847895082159
2023-01-01,total,14079.372866387892
2023-02-01,total,13128.728768307175
2023-03-01,total,14900.191701966496
2023-04-01,total,14417.522463521951
2023-05-01,total,15763.358719041107
2023-06-01,total,14907.699525000004
2023-07-01,total,15199.793747
2023-08-01,total,15310.096258000001
2023-09-01,total,14790.533463999998
2023-10-01,total,15594.351988999999
2023-11-01,total,14722.831024
2023-12-01,total,14931.447376
2024-01-01,total,15175.768119999997
2024-02-01,total,14560.930988645057
2024-03-01,total,16192.666538403739
2024-04-01,total,15508.054513047116
2024-05-01,total,16396.77517399459
2024-06-01,total,15431.39970458838
2018-01-01,local,11845.900250366072
2018-02-01,local,11091.957006488283
2018-03-01,local,12244.089946954538
2018-04-01,local,12018.584576828398
2018-05-01,local,12267.998389828028
2018-06-01,local,11718.327747654244
2018-07-01,local,12549.891139322239
2018-08-01,local,12523.897610381391
2018-09-01,local,11959.078381002888
2018-10-01,local,12524.427860172873
2018-11-01,local,12068.57475425387
2018-12-01,local,12375.386214747177
2019-01-01,local,12551.019664803756
2019-02-01,local,11566.876328724595
2019-03-01,local,12750.44043299862
2019-04-01,local,12943.806407009228
2019-05-01,local,12786.932297938525
2019-06-01,local,12157.910354688142
2019-07-01,local,12766.752171364002
2019-08-01,local,12730.101089160806
2019-09-01,local,12359.448876536553
2019-10-01,local,12544.54287188919
2019-11-01,local,12220.807380677976
2019-12-01,local,12375.776498279754
2020-01-01,local,12663.716738107407
2020-02-01,local,12249.906878283657
2020-03-01,local,11699.290989351843
2020-04-01,local,10349.141634806634
2020-05-01,local,11570.619048745171
2020-06-01,local,11751.316874619091
2020-07-01,local,12381.463346189073
2020-08-01,local,12543.160058752128
2020-09-01,local,12436.148407303446
2020-10-01,local,12758.637190295922
2020-11-01,local,12122.769498085523
2020-12-01,local,12231.228997967688
2021-01-01,local,12157.209476818183
2021-02-01,local,11595.539692391305
2021-03-01,local,12960.81040007616
2021-04-01,local,12718.137118598423
2021-05-01,local,12675.56142460442
2021-06-01,local,11100.331582430035
2021-07-01,local,11590.082115172583
2021-08-01,local,12011.964066766823
2021-09-01,local,12446.853350471847
2021-10-01,local,13086.443119099726
2021-11-01,local,12708.140604309527
2021-12-01,local,12956.134257063819
2022-01-01,local,12936.42689543781
2022-02-01,local,11899.223610061854
2022-03-01,local,13252.140207006954
2022-04-01,local,13132.168277829996
2022-05-01,local,13254.941392793851
2022-06-01,local,13244.199491819452
2022-07-01,local,13367.95899038873
2022-08-01,local,13463.730428484421
2022-09-01,local,13090.583107615548
2022-10-01,local,13214.60363302277
2022-11-01,local,12934.27658154336
2022-12-01,local,13041.875463252161
2023-01-01,local,12866.45402460375
2023-02-01,local,12347.508572493649
2023-03-01,local,13666.946274966496
2023-04-01,local,13230.75327655195
2023-05-01,local,14297.382882971107
2023-06-01,local,13659.669004
2023-07-01,local,13905.178093999999
2023-08-01,local,13807.184996
2023-09-01,local,13756.76017
2023-10-01,local,14134.651263
2023-11-01,local,13731.54457
2023-12-01,local,13858.089457
2024-01-01,local,14244.575463691239
2024-02-01,local,13762.007150617977
2024-03-01,local,14845.855921150898
2024-04-01,local,14388.609898922687
2024-05-01,local,15028.827927020782
2024-06-01,local,14325.641302491349
2018-01-01,local_commercial,9390.080800769996
2018-02-01,local_commercial,8561.415143228729
2018-03-01,local_commercial,9659.320214866322
2018-04-01,local_commercial,9340.784016555946
2018-05-01,local_commercial,9525.937601765223
2018-06-01,local_commercial,9090.549881417612
2018-07-01,local_commercial,9804.790350016034
2018-08-01,local_commercial,9839.948202785974
2018-09-01,local_commercial,9395.25980619074
2018-10-01,local_commercial,9939.99099146087
2018-11-01,local_commercial,9530.094915774338
2018-12-01,local_commercial,9695.131200168214
2019-01-01,local_commercial,9806.591170539537
2019-02-01,local_commercial,8762.477741368668
2019-03-01,local_commercial,10001.938713610458
2019-04-01,local_commercial,9984.77257315931
2019-05-01,local_commercial,9955.331262060286
2019-06-01,local_commercial,9325.607423053161
2019-07-01,local_commercial,9924.7516467178
2019-08-01,local_commercial,9885.678436813008
2019-09-01,local_commercial,9624.753384354068
2019-10-01,local_commercial,9867.044969501034
2019-11-01,local_commercial,9579.05358154765
2019-12-01,local_commercial,9650.754813146164
2020-01-01,local_commercial,9794.372473013062
2020-02-01,local_commercial,9381.811342181763
2020-03-01,local_commercial,8809.560864715995
2020-04-01,local_commercial,7209.282719754847
2020-05-01,local_commercial,7623.061580682024
2020-06-01,local_commercial,8733.469808289672
2020-07-01,local_commercial,9376.72161572112
2020-08-01,local_commercial,9553.317405522816
2020-09-01,local_commercial,9534.58470597987
2020-10-01,local_commercial,9784.699068542443
2020-11-01,local_commercial,9179.293057956924
2020-12-01,local_commercial,9410.638187147053
2021-01-01,local_commercial,9118.32410606924
2021-02-01,local_commercial,8500.055352939267
2021-03-01,local_commercial,9885.082042015252
2021-04-01,local_commercial,9595.732563152076
2021-05-01,local_commercial,9243.155745480215
2021-06-01,local_commercial,7802.305208957809
2021-07-01,local_commercial,8173.249012716132
2021-08-01,local_commercial,8739.395240665728
2021-09-01,local_commercial,9205.928582849265
2021-10-01,local_commercial,9907.907410338321
2021-11-01,local_commercial,9700.69295667445
2021-12-01,local_commercial,9922.392808945093
2022-01-01,local_commercial,9787.33242143781
2022-02-01,local_commercial,8821.415245061855
2022-03-01,local_commercial,9985.710552576955
2022-04-01,local_commercial,9813.861697829996
2022-05-01,local_commercial,9890.299725793851
2022-06-01,local_commercial,9961.861196819453
2022-07-01,local_commercial,10087.65293938873
2022-08-01,local_commercial,10261.33668548442
2022-09-01,local_commercial,9971.862925615547
2022-10-01,local_commercial,10117.581373022771
2022-11-01,local_commercial,9895.133927025032
2022-12-01,local_commercial,10003.771034082161
2023-01-01,local_commercial,9836.337414603751
2023-02-01,local_commercial,9300.96566949365
2023-03-01,local_commercial,10302.550199966496
2023-04-01,local_commercial,9714.32648345195
2023-05-01,local_commercial,10586.575233971107
2023-06-01,local_commercial,10145.5
2023-07-01,local_commercial,10394.207293
2023-08-01,local_commercial,10382.274403
2023-09-01,local_commercial,10264.298592
2023-10-01,local_commercial,10729.876046
2023-11-01,local_commercial,10466.22553
2023-12-01,local_commercial,10518.995648
2024-01-01,local_commercial,10693.137788691238
2024-02-01,local_commercial,10086.551990617978
2024-03-01,local_commercial,10938.0071451509
2024-04-01,local_commercial,10528.203483922687
2024-05-01,local_commercial,11208.544402020783
2024-06-01,local_commercial,10703.791218175198
2018-01-01,local_domestic,2455.819449596076
2018-02-01,local_domestic,2530.5418632595533
2018-03-01,local_domestic,2584.7697320882157
2018-04-01,local_domestic,2677.8005602724515
2018-05-01,local_domestic,2742.0607880628045
2018-06-01,local_domestic,2627.7778662366327
2018-07-01,local_domestic,2745.1007893062047
2018-08-01,local_domestic,2683.9494075954162
2018-09-01,local_domestic,2563.818574812149
2018-10-01,local_domestic,2584.4368687120027
